SOURCELONG:Monster Manual 2	SOURCESHORT:MM2	SOURCEWEB:http://www.gozzilioni.net																														
																																
###Block: Proficiencies																																
# Ability Name	Category of Ability	TYPE:	Visible	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page
Race Traits ~ Abeil Vassal	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Abeil Vassal ~ Poison											BONUS:VAR|Maneuverability|3																		
Poison	CATEGORY:Special Ability	TYPE:AbeilVassalRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Fort DC %1. Initial: 1d4 points of STR damage. Secondary: 1d4 points of STR damage. The save DC is Constitution-based.|PoisonDC	KEY:Abeil Vassal ~ Poison									BONUS:VAR|PoisonDC|2|PREFEAT:1,Ability Focus(Poison)									ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2
																																
Race Traits ~ Abeil Soldier	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Abeil Soldier ~ Poison|Abeil Soldier ~ Stormwing|Abeil Soldier ~ Special Enemy											BONUS:VAR|Maneuverability|4																		
Poison	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Fort DC %1. Initial: 1d4 points of STR damage. Secondary: 1d4 points of STR damage. The save DC is Constitution-based.|PoisonDC	KEY:Abeil Soldier ~ Poison									BONUS:VAR|PoisonDC|2|PREFEAT:1,Ability Focus(Poison)									ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2
Stormwing	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:6d6 sonic damage within 40-foot burst (Ref DC %1).|StormwingDC	KEY:Abeil Soldier ~ Stormwing				DEFINE:SwtormwingDC|0					BONUS:VAR|Stormwing|DefaultDCCon	BONUS:VAR|StormwingDC|2|PREFEAT:1,Ability Focus(Stormwing)								ABILITY:Ability Focus|AUTOMATIC|Stormwing									SOURCEPAGE:MM2
Special Enemy	CATEGORY:Special Ability	TYPE:AbeilSoldierRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:choose an type of creature from ranger favored enemy table. Abeil Soldier gain +3 bonus on Bluff, Listen, Sense Motive, Spot and Survival. Gain also +3 on weapon damage rolls against creature of the selected type.	KEY:Abeil Soldier ~ Special Enemy									BONUS:ABILITYPOOL|Favored Enemy|1	BONUS:ABILITYPOOL|Special Enemy Bonus|1																	SOURCEPAGE:MM2
																																
Race Traits ~ Abeil Queen	CATEGORY:Internal	TYPE:Special	AUTO:FEAT|Great Fortitude	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability|Abeil Queen ~ Poison|Abeil Queen ~ Spells										BONUS:VAR|Maneuverability|4																		
Poison	CATEGORY:Special Ability	TYPE:AbeilQueenRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Fort DC %1. Initial: 1d2 points of STR damage. Secondary: 1d2 points of STR damage. The save DC is Constitution-based.|PoisonDC	KEY:Abeil Queen ~ Poison									BONUS:VAR|PoisonDC|2|PREFEAT:1,Ability Focus(Poison)									ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM2
