SOURCELONG:Noble Steed	SOURCESHORT:Nob	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Coursier		TYPE:Steed	ABB:Cour	MAXLEVEL:10	SOURCEPAGE:Nob	BONUS:CHECKS|BASE.Fortitude|CL/2+2	BONUS:CHECKS|BASE.Reflex|CL/3	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL*3/4|TYPE=Base.REPLACE		
CLASS:Coursier	PREABILITY:1,CATEGORY=Special Ability,Advanced Training	PRESTAT:1,DEX=14	PRESTAT:1,CON=15	PRERACE:1,RACESUBTYPE=Steed							
CLASS:Coursier	STARTSKILLPTS:0										
1	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Increased Movement	BONUS:HP|CURRENTMAX|4		BONUS:ABILITYPOOL|Steed Ability|4				
2	BONUS:HP|CURRENTMAX|-CON										
3	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|4		BONUS:ABILITYPOOL|Steed Feat ~ General|1				
4	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Increased Movement 2			BONUS:ABILITYPOOL|Steed Ability|1				
5	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|8						
6	BONUS:HP|CURRENTMAX|-CON										
7	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|8						
8	BONUS:HP|CURRENTMAX|-CON			ABILITY:Special Ability|AUTOMATIC|Steed ~ Increased Movement 3			BONUS:ABILITYPOOL|Steed Ability|1				
9	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|12		BONUS:ABILITYPOOL|Steed Feat ~ General|1				
10	BONUS:HP|CURRENTMAX|-CON										
#											
CLASS:Destrier		TYPE:Steed	ABB:Dest	MAXLEVEL:10	SOURCEPAGE:Nob	BONUS:CHECKS|BASE.Fortitude|CL/3	BONUS:CHECKS|BASE.Reflex|CL/2+2	BONUS:CHECKS|BASE.Will|CL/3	BONUS:COMBAT|BAB|CL|TYPE=Base.REPLACE		
CLASS:Destrier	PREABILITY:1,CATEGORY=Special Ability,Advanced Training	PRESTAT:1,STR=16	PRESTAT:1,CON=15	PRERACE:1,RACESUBTYPE=Steed							
CLASS:Destrier	STARTSKILLPTS:0										
1	BONUS:HP|CURRENTMAX|-CON				BONUS:HP|CURRENTMAX|4		BONUS:ABILITYPOOL|Steed Feat ~ Battle|1	BONUS:COMBAT|INITIATIVE|1	BONUS:ABILITYPOOL|Steed Ability|4		
