SOURCELONG:Book of Exalted Deeds	SOURCESHORT:EXD	SOURCEWEB:http://www.gozzilioni.net									
# Class Name	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:CHECKS)	Save checks bonus (Reflex)	Save checks bonus (Willpower)	Combat bonus	EXCLASS	FINE
# Class Name	Requirements	FINE									
# Class Name	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		
# Class Name	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)						
#(level number)	ADD:SPELLCASTER o CAST	AUTO:WEAPONPROF	(FEATAUTO)	ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|	(DOMAIN)	(BONUS)			(DEFINE)	
CLASS:Sanctified	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified	SPELLSTAT:SPELL	SPELLTYPE:None	SPELLBOOK:YES		BONUS:CASTERLEVEL|Sanctified|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#
CLASS:Sanctified Spells (Arcane/WIS)	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified Spells (Arcane/WIS)	SPELLSTAT:WIS	SPELLTYPE:Arcane	SPELLBOOK:YES	SPELLLIST:1|Sanctified	BONUS:CASTERLEVEL|Sanctified (Arcane/WIS)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Sanctified Spells (Arcane/INT)	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified Spells (Arcane/INT)	SPELLSTAT:INT	SPELLTYPE:Arcane	SPELLBOOK:YES	SPELLLIST:1|Sanctified	BONUS:CASTERLEVEL|Sanctified (Arcane/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Sanctified Spells (Arcane/CHA)	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified Spells (Arcane/CHA)	SPELLSTAT:CHA	SPELLTYPE:Arcane	SPELLBOOK:YES	SPELLLIST:1|Sanctified	BONUS:CASTERLEVEL|Sanctified (Arcane/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Sanctified Spells (Divine/WIS)	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified Spells (Divine/WIS)	SPELLSTAT:WIS	SPELLTYPE:Divine	SPELLBOOK:YES	SPELLLIST:1|Sanctified	BONUS:CASTERLEVEL|Sanctified (Divine/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Sanctified Spells (Divine/INT)	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified Spells (Divine/INT)	SPELLSTAT:INT	SPELLTYPE:Divine	SPELLBOOK:YES	SPELLLIST:1|Sanctified	BONUS:CASTERLEVEL|Sanctified (Divine/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
CLASS:Sanctified Spells (Divine/CHA)	HD:1	TYPE:SanctifiedSpells	ABB:Sanctified Spells		SOURCEPAGE:EXD					VISIBLE:NO	
CLASS:Sanctified Spells (Divine/CHA)	SPELLSTAT:CHA	SPELLTYPE:Divine	SPELLBOOK:YES	SPELLLIST:1|Sanctified	BONUS:CASTERLEVEL|Sanctified (Divine/INT)|TL	BONUSSPELLSTAT:NONE					
1	CAST:0,0,0,0,0,0,0,0,0,0										
#											
