SOURCELONG:Creature del Terrore	SOURCESHORT:CdT	SOURCEWEB:http://www.gozzilioni.net																																																															
																																																																	
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	Face/Space	Reach	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		Special Ability						Spell Res.	Damage Reduction		MONSTERCLASS	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells	
Dragon (Plague Wyrmling)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,40,Fly,100,Swim,40	FACE:5	REACH:5			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|2		BONUS:STAT|CON|6	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:5				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,1d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d4							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:8	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:9	LEVELADJUSTMENT:4	CR:4	SOURCEPAGE:CdT		DEFINE:Maneuverability|3
Dragon (Plague Very Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Swim,40	FACE:10	REACH:5			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|6		BONUS:STAT|CON|8	BONUS:STAT|INT|-2		BONUS:STAT|CHA|-2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:11	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:12	LEVELADJUSTMENT:5	CR:5	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Young)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Swim,40	FACE:10	REACH:5			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|10		BONUS:STAT|CON|8									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:14	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:15	LEVELADJUSTMENT:6	CR:7	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Juvenile)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,40,Fly,150,Swim,40	FACE:10	REACH:5			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|14		BONUS:STAT|CON|10									AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:6				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:17	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:18		CR:10	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Young Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,40	FACE:15	REACH:10			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|16		BONUS:STAT|CON|12	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:20	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:21		CR:13	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,40	FACE:15	REACH:10			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|18		BONUS:STAT|CON|12	BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:23	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:24		CR:15	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Mature Adult)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:H	MOVE:Walk,40,Fly,150,Swim,40	FACE:15	REACH:10			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|18		BONUS:STAT|CON|14	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:7				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,2d8|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d6|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:26	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:27		CR:18	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,150,Swim,40	FACE:20	REACH:15			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|20		BONUS:STAT|CON|16	BONUS:STAT|INT|4	BONUS:STAT|WIS|4	BONUS:STAT|CHA|4						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:29	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:30		CR:20	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Very Old)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,150,Swim,40	FACE:20	REACH:15			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|22		BONUS:STAT|CON|18	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:32	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:33		CR:21	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
Dragon (Plague Ancient)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:G	MOVE:Walk,40,Fly,150,Swim,40	FACE:20	REACH:15			PREALIGN:NE	LANGAUTO:Draconic								BONUS:STAT|STR|24		BONUS:STAT|CON|20	BONUS:STAT|INT|6	BONUS:STAT|WIS|6	BONUS:STAT|CHA|6						AUTO:WEAPONPROF|TYPE.Simple						LEGS:4	HANDS:8				NATURALATTACKS:Bite,Weapon.Natural.Melee.Finesseable.Bludgeoning.Piercing.Slashing,*1,4d6|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,2d8|Wing,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6|Tail Slap,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d8|Crush,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,4d6|Tail Sweep,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6							ABILITY:SPECIAL Ability|AUTOMATIC|Flight Maneuverability				MONSTERCLASS:Plague Dragon:35	RACETYPE:Dragon	RACESUBTYPE:Water	TYPE:Dragon	TEMPLATE:Dragon	TEMPLATE:Water			HITDICEADVANCEMENT:36		CR:23	SOURCEPAGE:CdT		DEFINE:Maneuverability|2
